Cause of Death,Community Area,Community Area Name,Cumulative Deaths 2006 - 2010,Cumulative Deaths Rank,Average Annual Deaths 2006 - 2010,Average Crude Rate 2006 - 2010,Average Crude Rate Lower CI,Average Crude Rate Upper CI,Crude Rate Rank,Average Adjusted Rate 2006 - 2010,Average Adjusted Rate Lower CI,Average Adjusted Rate Upper CI,Adjusted Rate Rank,Average Annual Years of Potential Life Lost (YPLL) Rate 2006 - 2010,YPLL Rate RANK,WARNING
Lung cancer,8,Near North Side,141,6,28,35.7,29.8,41.6,51,34.8,29.2,40.8,65,211,60,
Lung cancer,9,Edison Park,34,58,7,60.7,42,84.8,26,46.7,32.2,63.9,41,505,19,
Lung cancer,10,Norwood Park,136,7,27,73.2,60.9,85.5,11,45.9,38.3,54.3,43,451,26,
Lung cancer,11,Jefferson Park,80,32,16,62.7,49.7,78,24,50.8,40.3,62.6,36,437,32,
Lung cancer,12,Forest Glen,29,64,6,31.5,21.1,45.2,58,23.4,15.5,32.9,76,229,58,
Lung cancer,13,North Park,48,50,10,53.2,39.2,70.5,34,39.2,28.8,51.2,58,196,65,
Lung cancer,14,Albany Park,79,33,16,29.9,23.7,37.3,61,44.4,35,55,46,239,57,
Lung cancer,15,Portage Park,144,5,29,44.7,37.4,52,42,45.4,38.2,53.2,45,409,36,
Lung cancer,16,Irving Park,91,25,18,33.4,26.9,41,54,42.3,33.9,51.7,51,303,50,
Lung cancer,17,Dunning,135,8,27,64.3,53.5,75.1,22,51.3,43,60.4,33,400,37,
Lung cancer,18,Montclaire,22,71,4,33.2,20.8,50.3,55,30.8,19.1,45.1,68,202,63,
Lung cancer,19,Belmont Cragin,103,20,21,26.2,21.1,31.3,64,40.8,33.1,49.3,57,171,68,
Lung cancer,20,Hermosa,20,72,4,15.8,9.7,24.4,74,28,16.5,42.4,72,117,74,
Lung cancer,21,Avondale,42,53,8,21,15.1,28.4,68,34.6,24.8,46.2,66,114,75,
Lung cancer,22,Logan Square,76,36,15,20.3,16,25.4,70,36.9,28.8,46,62,203,62,
Lung cancer,23,Humboldt park,89,27,18,30.6,24.6,37.7,59,46.9,37.1,57.8,40,342,44,
Lung cancer,24,West Town,69,38,14,16.6,12.9,21,72,29.1,22.5,36.4,70,162,69,
Lung cancer,26,West Garfield Park,57,42,11,60,45.4,77.7,27,67.4,50.9,86.1,13,662,8,
Lung cancer,27,East Garfield Park,50,46,10,48.5,36,63.9,38,60.7,44.9,79,23,443,29,
Lung cancer,28,Near West Side,96,23,19,36.1,29.2,44.1,50,60.9,49.1,74,22,337,45,
Lung cancer,29,North Lawndale,101,22,20,54.5,43.9,65.1,32,69,56.1,83.1,10,630,13,
Lung cancer,30,South Lawndale,30,62,6,7.3,4.9,10.4,77,15.5,10.1,22,77,92,76,
Lung cancer,31,Lower West Side,26,67,5,13.9,9.1,20.4,76,25.7,16.7,36.7,75,79,77,
Lung cancer,32,Loop,25,69,5,18.7,12.1,27.6,71,26.2,16.5,38.2,74,174,67,
Lung cancer,33,Near South Side,30,62,6,31.6,21.3,45.1,57,36.4,24.3,50.9,64,347,43,
Lung cancer,34,Armour Square,51,44,10,77.7,57.9,102.2,6,53.2,39.5,68.8,31,374,41,
Lung cancer,35,Douglas,77,35,15,77.4,61.1,96.7,7,70,55,86.7,8,647,10,
Lung cancer,36,Oakland,14,75,3,47,25.7,78.9,40,59.5,32.2,95,25,527,17,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Lung cancer,37,Fuller Park,14,75,3,93.8,51.3,157.4,1,67.5,36.8,107.5,12,648,9,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Lung cancer,38,Grand Boulevard,79,33,16,68.3,54.1,85.1,17,65.7,52,81,18,438,31,
Lung cancer,39,Kenwood,51,44,10,56.8,42.3,74.7,29,47.3,35.2,61.3,38,469,23,
Lung cancer,40,Washington Park,33,60,7,54.1,37.2,76,33,79.6,54.3,109.7,3,586,16,
Lung cancer,41,Hyde Park,46,52,9,34.7,25.4,46.3,52,34.2,25,44.8,67,183,66,
Lung cancer,42,Woodlawn,82,30,16,67.2,53.4,83.4,19,74.6,59.2,91.7,5,476,22,
Lung cancer,43,South Shore,188,3,38,69.7,59.7,79.7,15,65.9,56.7,75.7,16,644,11,
Lung cancer,44,Chatham,110,18,22,68.2,55.5,80.9,18,51.1,42,61.1,35,517,18,
Lung cancer,45,Avalon Park,34,58,7,65.5,45.4,91.5,20,47.3,32.6,64.8,38,447,27,
Lung cancer,46,South Chicago,85,28,17,52,41.5,64.3,36,51.3,40.9,62.9,33,497,21,
Lung cancer,47,Burnside,13,77,3,86.9,46.3,148.6,3,66.1,35,106.8,15,634,12,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Lung cancer,48,Calumet Heights,52,43,10,73,54.5,95.7,12,46.1,34.3,59.7,42,460,24,
Lung cancer,49,Roseland,198,2,40,85.6,73.7,97.5,4,71.2,61.5,81.5,7,799,1,
Lung cancer,50,Pullman,27,66,5,70.6,46.5,102.7,14,65.8,43,93.3,17,413,34,
Lung cancer,51,South Deering,49,48,10,63.3,46.8,83.7,23,58.5,43.2,76.2,26,413,34,
Lung cancer,52,East Side,42,53,8,36.3,26.2,49.1,49,42.2,30.4,55.9,52,258,53,
Lung cancer,53,West Pullman,122,13,24,78.6,64.7,92.5,5,80.9,66.5,96.6,2,773,2,
Prostate cancer in males,67,West Englewood,32,10,6,36.8,25.2,52,21,60.8,40.3,85.4,9,161,11,
Lung cancer,54,Riverdale,17,73,3,47.6,27.7,76.2,39,85.3,48.8,131.6,1,614,14,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Lung cancer,55,Hegewisch,33,60,7,69.5,47.8,97.6,16,57.7,39.6,79.2,27,504,20,
Lung cancer,56,Garfield Ridge,134,9,27,76.9,63.9,89.9,8,60.3,50.5,71,24,398,38,
Lung cancer,57,Archer Heights,23,70,5,34.7,22,52.1,52,43.4,27.4,63,48,299,51,
Lung cancer,58,Brighton Park,36,57,7,15.9,11.1,22,73,28.4,19.7,38.6,71,144,70,
Lung cancer,59,McKinley Park,16,74,3,20.4,11.7,33.1,69,27.9,15.7,43.5,73,244,54,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Lung cancer,60,Bridgeport,91,25,18,56.3,45.3,69.1,30,62.9,50.5,76.6,21,444,28,
Lung cancer,61,New City,94,24,19,41,33.1,50.2,46,68.1,54.6,83.1,11,456,25,
Lung cancer,62,West Elsdon,38,56,8,43,30.4,59,43,55.4,39.1,74.5,30,304,49,
Lung cancer,63,Gage Park,29,64,6,14.6,9.8,21,75,29.5,19.4,41.8,69,133,72,
Lung cancer,64,Clearing,68,39,14,59.2,46,75.1,28,57.5,44.6,72,29,381,40,
Lung cancer,65,West Lawn,49,48,10,30.1,22.3,39.8,60,41,30.2,53.5,56,201,64,
Lung cancer,66,Chicago Lawn,81,31,16,28.5,22.6,35.4,63,42.7,33.6,52.8,50,324,46,
Lung cancer,67,West Englewood,117,16,23,62.5,51.2,73.8,25,66.7,55,79.5,14,684,6,
Lung cancer,68,Englewood,118,15,24,72.5,59.4,85.6,13,78.5,64.9,93.3,4,604,15,
Lung cancer,69,Greater Grand Crossing,130,11,26,76.9,63.7,90.1,8,71.6,59.8,84.5,6,773,2,
Lung cancer,70,Ashburn,103,20,21,50.5,40.7,60.3,37,57.6,46.9,69.4,28,424,33,
Lung cancer,71,Auburn Gresham,186,4,37,74.1,63.5,84.7,10,64.6,55.6,74.3,20,727,5,
Lung cancer,72,Beverly,47,51,9,46,33.8,61.2,41,44.1,32.2,57.9,47,309,48,
Lung cancer,73,Washington Heights,122,13,24,89.8,73.9,105.7,2,65.5,54.3,77.8,19,672,7,
Lung cancer,74,Mount Greenwood,50,46,10,52.5,39,69.2,35,52,38.4,67.5,32,386,39,
Lung cancer,75,Morgan Park,64,41,13,55.5,42.7,70.9,31,45.5,35,57.4,44,439,30,
Lung cancer,76,O'Hare,26,67,5,41.3,27,60.5,45,36.7,23.9,52.2,63,244,54,
Lung cancer,77,Edgewater,117,16,23,40.6,33.2,48,47,41.6,34.4,49.5,54,289,52,
Lung cancer,0,Chicago,5898,,1180,43.1,42,44.2,,49.7,48.5,51,,360,,
Prostate cancer in males,1,Rogers Park,17,36,3,11.9,6.9,19.1,57,26.3,15.1,40.5,43,36,52,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,2,West Ridge,25,15,5,14,9.1,20.7,50,16.9,10.9,24.2,62,49,37,
Prostate cancer in males,3,Uptown,23,19,5,15.2,9.6,22.8,47,25.9,16.4,37.6,45,23,58,
Prostate cancer in males,4,Lincoln Square,13,44,3,13.1,7,22.4,52,23.7,12.3,38.8,48,43,48,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,5,North Center,5,67,1,6.4,2.1,14.9,72,15.2,4.7,31.6,70,4,71,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,6,Lake View,21,25,4,8.9,5.5,13.6,66,19.8,12.2,29.3,58,23,58,
Prostate cancer in males,7,Lincoln Park,22,22,4,14.4,9,21.8,49,32.7,20.3,48.1,34,19,62,
Prostate cancer in males,8,Near North Side,24,18,5,13.1,8.4,19.5,52,14.7,9.3,21.3,71,42,49,
Prostate cancer in males,9,Edison Park,8,57,2,29.9,12.9,58.9,26,25,10.8,45.2,46,32,56,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,10,Norwood Park,25,15,5,28.5,18.4,42.1,32,22,14.2,31.5,52,111,20,
Prostate cancer in males,11,Jefferson Park,18,31,4,29.3,17.4,46.3,29,30.8,18.2,46.6,37,45,46,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,12,Forest Glen,13,44,3,29.2,15.5,49.9,30,26.8,14.2,43.3,41,34,54,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,68,Englewood,33,8,7,45,31,63.2,11,57.7,39.5,79.3,11,274,4,
Prostate cancer in males,13,North Park,4,68,1,9.2,2.5,23.6,64,8.1,2.2,17.9,76,39,50,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,14,Albany Park,10,52,2,7.4,3.5,13.6,69,16.9,8,29,62,7,68,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,15,Portage Park,18,31,4,11.4,6.8,18,58,15.5,9.1,23.8,68,48,39,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,16,Irving Park,13,44,3,9.6,5.1,16.4,63,17.6,9,28.9,61,36,52,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,17,Dunning,23,19,5,22.5,14.3,33.8,35,22.3,14.1,32.3,51,65,33,
Prostate cancer in males,18,Montclaire,6,63,1,18.4,6.8,40,39,21.8,7.9,42.7,54,48,39,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,19,Belmont Cragin,20,27,4,10.1,6.2,15.6,60,23.1,13.7,34.9,49,47,41,
Prostate cancer in males,20,Hermosa,4,68,1,6.3,1.7,16.1,73,17.7,4.4,40.3,60,5,70,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,21,Avondale,16,41,3,15.6,8.9,25.3,46,39,21.8,61.1,28,49,37,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,22,Logan Square,9,55,2,4.8,2.2,9.1,76,12.2,5.3,21.9,75,18,63,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,23,Humboldt park,27,13,5,19.2,12.7,27.9,36,52.4,33.1,76.2,14,70,32,
Prostate cancer in males,24,West Town,18,31,4,8.4,5,13.3,67,19.2,11.2,29.3,59,47,41,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,25,Austin,91,1,18,38.8,31.2,47.6,17,71.3,56.3,88.1,6,129,16,
Prostate cancer in males,26,West Garfield Park,22,22,4,50.2,31.5,76,9,89.4,54.2,133.2,3,182,9,
Prostate cancer in males,27,East Garfield Park,20,27,4,41.7,25.5,64.4,13,81.3,49,121.8,5,101,24,
Prostate cancer in males,28,Near West Side,17,36,3,13,7.6,20.8,54,29.9,16.8,46.6,38,61,34,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,29,North Lawndale,25,15,5,29.5,19.1,43.5,28,49.9,32.2,71.5,20,106,23,
Prostate cancer in males,30,South Lawndale,17,36,3,7.3,4.3,11.7,70,29,16.3,45.5,39,23,58,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,31,Lower West Side,6,63,1,6.1,2.2,13.3,74,14.5,5.1,28.8,72,12,66,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,32,Loop,6,63,1,9.1,3.3,19.8,65,16.4,5.3,33.8,67,32,56,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,33,Near South Side,13,44,3,28.9,15.4,49.4,31,61.9,31.6,102.2,8,87,26,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,34,Armour Square,6,63,1,19.1,7,41.6,37,16.5,6,32.2,66,7,68,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,35,Douglas,37,7,7,81.3,57.2,112.1,2,90.8,63.8,122.6,2,319,2,
Prostate cancer in males,36,Oakland,2,74,0,16.1,1.9,58.2,43,37.1,4.5,103.2,29,0,73,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,37,Fuller Park,3,71,1,41.9,8.6,122.4,12,51.8,9.8,128.1,16,310,3,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,38,Grand Boulevard,15,42,3,29.9,16.7,49.3,26,35.9,19.9,56.5,31,75,29,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,39,Kenwood,19,29,4,49.4,29.7,77.1,10,51,30.7,76.5,18,77,28,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,69,Greater Grand Crossing,41,5,8,55,39.5,74.6,6,58.9,42.2,78.4,10,139,14,
Prostate cancer in males,40,Washington Park,11,51,2,41.4,20.7,74.1,15,83.4,40.6,141.5,4,197,7,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,41,Hyde Park,12,49,2,18.9,9.8,33,38,24.1,12.4,39.6,47,46,45,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,42,Woodlawn,21,25,4,38.4,23.8,58.7,18,57.4,35.2,84.8,12,150,13,
Prostate cancer in males,43,South Shore,42,4,8,35.6,25.7,48.1,22,46.6,33.3,62.1,24,111,20,
Prostate cancer in males,44,Chatham,41,5,8,58.8,42.2,79.8,4,54.3,38.9,72.1,13,71,30,
Prostate cancer in males,45,Avalon Park,13,44,3,57.4,30.6,98.2,5,51.7,27.2,84,17,71,30,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,46,South Chicago,30,11,6,40.1,27.1,57.2,16,52.3,34.9,73.1,15,177,10,
Prostate cancer in males,47,Burnside,2,74,0,30,3.6,108.4,25,41.5,5,115.7,27,0,73,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,48,Calumet Heights,17,36,3,53.7,31.3,86,8,42.4,24.3,65.5,26,233,6,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,49,Roseland,70,2,14,67.8,52.9,85.7,3,69.3,53.8,86.7,7,272,5,
Prostate cancer in males,50,Pullman,14,43,3,82,44.8,137.6,1,114.5,57.3,191.1,1,615,1,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,51,South Deering,10,52,2,28.1,13.5,51.7,33,31.5,15,53.9,35,118,18,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,52,East Side,10,52,2,17.5,8.4,32.2,41,26.3,12.4,45.2,43,80,27,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,53,West Pullman,27,13,5,38.1,25.1,55.4,19,49.1,31.3,71,21,184,8,
Prostate cancer in males,54,Riverdale,1,76,0,6.7,0.2,37.3,71,22,0.6,81.1,52,0,73,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,55,Hegewisch,3,71,1,12.7,2.6,37.1,55,15.4,3.2,37,69,0,73,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,56,Garfield Ridge,28,12,6,33.2,22.1,48,23,31.3,20.8,44,36,133,15,
Prostate cancer in males,57,Archer Heights,4,68,1,12,3.3,30.7,56,21.1,5.7,46.3,55,12,66,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,58,Brighton Park,7,61,1,6,2.4,12.4,75,14.2,5.4,27,73,44,47,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,59,McKinley Park,3,71,1,7.6,1.6,22.2,68,13.6,2.5,34,74,34,54,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,60,Bridgeport,8,57,2,9.9,4.3,19.5,61,16.6,7.1,30,65,1,72,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,61,New City,12,49,2,10.4,5.4,18.2,59,28,14.2,46.4,40,17,64,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,62,West Elsdon,7,61,1,16,6.4,33,44,26.8,10.7,50.1,41,0,73,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,63,Gage Park,18,31,4,17.7,10.5,28,40,50.2,28.8,77.4,19,111,20,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,64,Clearing,9,55,2,16,7.3,30.4,44,20.4,9.3,35.8,57,47,41,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,65,West Lawn,8,57,2,9.8,4.2,19.3,62,16.8,7.2,30.5,64,17,64,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,66,Chicago Lawn,19,29,4,13.9,8.4,21.7,51,35.1,20.4,53.8,32,59,35,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,70,Ashburn,23,19,5,23.6,15,35.4,34,36.1,22.8,52.4,30,47,41,
Prostate cancer in males,71,Auburn Gresham,46,3,9,41.5,30.4,55.4,14,47.4,34.3,62.6,22,129,16,
Prostate cancer in males,72,Beverly,18,31,4,37,21.9,58.5,20,44,25.6,67.2,25,153,12,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,73,Washington Heights,33,8,7,54.8,37.7,77,7,47.4,32.4,65.1,22,118,18,
Prostate cancer in males,74,Mount Greenwood,8,57,2,17.1,7.4,33.7,42,22.7,9.8,41.1,50,20,61,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,75,Morgan Park,17,36,3,32.5,18.9,52,24,32.8,19.1,50.2,33,95,25,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,76,O'Hare,1,76,0,3.2,0.1,17.8,77,2.7,0.1,10,77,57,36,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Prostate cancer in males,77,Edgewater,22,22,4,14.9,9.3,22.6,48,20.9,13,30.6,56,38,51,
Prostate cancer in males,0,Chicago,1412,,282,21.3,20.2,22.4,,33.4,31.6,35.1,,70,,
Stroke (cerebrovascular disease),1,Rogers Park,60,36,12,21.2,16.2,27.3,67,32.3,24.5,41.2,64,132,58,
Stroke (cerebrovascular disease),2,West Ridge,132,6,26,36.6,30.4,42.8,42,34.3,28.6,40.5,58,151,49,
Stroke (cerebrovascular disease),3,Uptown,105,8,21,36.3,29.4,43.2,43,39.4,32.1,47.4,43,147,51,
Stroke (cerebrovascular disease),4,Lincoln Square,48,44,10,23.7,17.5,31.4,62,30.6,22.4,40,68,101,67,
Stroke (cerebrovascular disease),5,North Center,37,54,7,23.2,16.3,32,64,39.8,28,53.8,42,88,69,
Stroke (cerebrovascular disease),6,Lake View,86,20,17,18.2,14.6,22.5,73,26.8,21.4,32.9,75,44,76,
Stroke (cerebrovascular disease),7,Lincoln Park,63,33,13,19.6,15.1,25.1,71,33.6,25.7,42.6,61,27,77,
Stroke (cerebrovascular disease),8,Near North Side,81,22,16,20.5,16.3,25.5,69,21.3,16.9,26.2,77,69,72,
Stroke (cerebrovascular disease),9,Edison Park,28,67,6,50,33.2,72.3,27,32.9,21.7,46.3,63,138,54,
Stroke (cerebrovascular disease),10,Norwood Park,153,3,31,82.4,69.3,95.5,3,41.3,34.6,48.6,38,178,41,
Stroke (cerebrovascular disease),11,Jefferson Park,64,32,13,50.1,38.6,64,26,37.5,28.8,47.3,50,155,47,
Stroke (cerebrovascular disease),12,Forest Glen,40,50,8,43.4,31,59.1,33,30.1,21.5,40.2,70,56,75,
Stroke (cerebrovascular disease),13,North Park,34,56,7,37.7,26.1,52.7,40,24.5,16.8,33.5,76,71,71,
Stroke (cerebrovascular disease),14,Albany Park,67,29,13,25.4,19.7,32.3,60,37.3,28.8,46.9,51,143,52,
Stroke (cerebrovascular disease),15,Portage Park,111,7,22,34.5,28.1,40.9,46,35.3,29,42.3,56,162,46,
Stroke (cerebrovascular disease),16,Irving Park,78,24,16,28.7,22.7,35.8,56,39.2,30.8,48.5,45,241,32,
Stroke (cerebrovascular disease),17,Dunning,89,19,18,42.4,34.1,52.2,34,31.5,25.2,38.4,66,136,55,
Stroke (cerebrovascular disease),18,Montclaire,29,66,6,43.7,29.3,62.8,32,37.1,24.6,52.1,53,174,42,
Stroke (cerebrovascular disease),19,Belmont Cragin,84,21,17,21.4,17.1,26.5,66,34.9,27.7,42.9,57,124,61,
Stroke (cerebrovascular disease),20,Hermosa,19,73,4,15,9,23.4,76,30.1,17.5,46,70,121,62,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Stroke (cerebrovascular disease),21,Avondale,47,46,9,23.5,17.3,31.3,63,40.3,29.3,52.9,40,131,59,
Stroke (cerebrovascular disease),22,Logan Square,59,38,12,15.8,12,20.4,75,33.2,25.1,42.5,62,113,65,
Stroke (cerebrovascular disease),23,Humboldt park,93,16,19,31.9,25.7,39.1,49,58.7,46.5,72.3,14,322,25,
Stroke (cerebrovascular disease),24,West Town,78,24,16,18.7,14.8,23.3,72,33.8,26.6,41.8,60,153,48,
Stroke (cerebrovascular disease),25,Austin,226,1,45,44.2,38.4,50,31,56.8,49.3,64.7,16,430,8,
Stroke (cerebrovascular disease),26,West Garfield Park,52,41,10,54.7,40.9,71.7,19,71,52.7,91.9,4,394,14,
Stroke (cerebrovascular disease),27,East Garfield Park,32,59,6,31,21.2,43.8,52,38.9,26.4,53.6,46,329,21,
Stroke (cerebrovascular disease),28,Near West Side,61,34,12,22.9,17.5,29.4,65,40.9,31,52.1,39,231,35,
Stroke (cerebrovascular disease),29,North Lawndale,94,15,19,50.7,41,62,25,66.3,53.5,80.5,6,522,3,
Stroke (cerebrovascular disease),30,South Lawndale,54,40,11,13.2,9.9,17.2,77,34.1,25.2,44.2,59,75,70,
Stroke (cerebrovascular disease),31,Lower West Side,38,53,8,20.3,14.4,27.9,70,37.3,26.1,50.4,51,141,53,
Stroke (cerebrovascular disease),32,Loop,22,71,4,16.5,10.3,25,74,29.4,18.2,43.4,72,63,73,
Stroke (cerebrovascular disease),33,Near South Side,33,57,7,34.7,23.9,48.7,45,46.4,31.8,63.7,30,188,40,
Stroke (cerebrovascular disease),34,Armour Square,35,55,7,53.4,37.2,74.3,20,37.1,25.8,50.4,53,236,34,
Stroke (cerebrovascular disease),35,Douglas,74,27,15,74.4,58.4,93.4,4,61.5,48,76.6,8,325,23,
Stroke (cerebrovascular disease),36,Oakland,8,77,2,26.9,11.6,53,58,38.3,16.4,69.4,48,133,57,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Stroke (cerebrovascular disease),37,Fuller Park,15,74,3,100.5,56.2,165.8,1,87.7,48.6,138.3,1,864,1,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Stroke (cerebrovascular disease),38,Grand Boulevard,60,36,12,51.8,39.5,66.7,23,49,37.3,62.2,27,423,10,
Stroke (cerebrovascular disease),39,Kenwood,32,59,6,35.7,24.4,50.4,44,30.2,20.6,41.7,69,308,27,
Stroke (cerebrovascular disease),40,Washington Park,23,70,5,37.7,23.9,56.6,40,61.2,38.4,89.3,9,344,18,
Stroke (cerebrovascular disease),41,Hyde Park,40,50,8,30.2,21.6,41.1,54,28.5,20.3,38.1,74,117,64,
Stroke (cerebrovascular disease),42,Woodlawn,58,39,12,47.5,36.1,61.4,29,53,40.2,67.6,22,329,21,
Stroke (cerebrovascular disease),43,South Shore,142,4,28,52.7,44,61.4,22,53.1,44.6,62.2,21,413,11,
Stroke (cerebrovascular disease),44,Chatham,93,16,19,57.6,46.5,70.6,14,42.1,33.9,51.2,37,386,15,
Stroke (cerebrovascular disease),45,Avalon Park,33,57,7,63.6,43.8,89.3,6,44.9,30.9,61.5,32,302,28,
Stroke (cerebrovascular disease),46,South Chicago,66,30,13,40.4,31.2,51.4,37,43.5,33.6,54.7,34,404,12,
Stroke (cerebrovascular disease),47,Burnside,13,76,3,86.9,46.3,148.6,2,81.3,42.8,132.1,3,556,2,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Stroke (cerebrovascular disease),48,Calumet Heights,39,52,8,54.8,39,74.9,18,38.9,27.4,52.4,46,314,26,
Stroke (cerebrovascular disease),49,Roseland,141,5,28,61,50.9,71.1,9,51.5,43.3,60.4,24,482,6,
Stroke (cerebrovascular disease),50,Pullman,22,71,4,57.6,36.1,87.2,14,62.1,38.3,91.5,7,324,24,
